name,experince,team_name,birth_day,player_id,2024-25,2025-26
Bogdan Bogdanović,8 years,Los Angeles Clippers,1992-08-18,bogdabo01,,"$16,020,000"
Kobe Bufkin,2 years,Atlanta Hawks,2003-09-21,bufkiko01,,"$4,503,720"
Clint Capela,11 years,Houston Rockets,1994-05-18,capelca01,,
Dyson Daniels,3 years,Atlanta Hawks,2003-03-17,daniedy01,,"$7,707,709"
Mouhamed Gueye,2 years,Atlanta Hawks,2002-11-09,gueyemo02,,"$2,221,677"
De'Andre Hunter,6 years,Cleveland Cavaliers,1997-12-02,huntede01,,"$23,303,571"
Jalen Johnson,4 years,Atlanta Hawks,2001-12-18,johnsja05,,"$30,000,000"
Vit Krejci,4 years,Atlanta Hawks,2000-06-19,krejcvi01,,"$2,349,578"
Caris LeVert,9 years,Detroit Pistons,1994-08-25,leverca01,,
Terance Mann,6 years,Brooklyn Nets,1996-10-18,mannte01,,"$15,500,000"
Garrison Mathews,6 years,,1996-10-24,mathega01,,
Larry Nance Jr.,10 years,Cleveland Cavaliers,1993-01-01,nancela02,,
Georges Niang,9 years,Boston Celtics,1993-06-17,niangge01,,"$8,200,000"
Onyeka Okongwu,5 years,Atlanta Hawks,2000-12-11,okongon01,,"$15,000,000"
Daeqwon Plowden,1 year,Sacramento Kings,1998-08-29,plowdda01,,
Zaccharie Risacher,1 year,Atlanta Hawks,2005-04-08,risacza01,,"$13,197,720"
David Roddy,3 years,Toronto Raptors,2001-03-27,roddyda01,,
Jacob Toppin,2 years,Atlanta Hawks,2000-05-08,toppija01,,
Keaton Wallace,1 year,Atlanta Hawks,1999-02-26,wallake01,,
Trae Young,7 years,Atlanta Hawks,1998-09-19,youngtr01,,"$45,999,660"
Cole Anthony,5 years,Milwaukee Bucks,2000-05-15,anthoco01,,"$13,100,000"
Paolo Banchero,3 years,Orlando Magic,2002-11-12,banchpa01,,"$15,334,769"
Goga Bitadze,6 years,Orlando Magic,1999-07-20,bitadgo01,,"$8,333,333"
Anthony Black,2 years,Orlando Magic,2004-01-20,blackan01,,"$7,970,280"
Kentavious Caldwell-Pope,12 years,Memphis Grizzlies,1993-02-18,caldwke01,,"$21,621,500"
Wendell Carter Jr.,7 years,Orlando Magic,1999-04-16,cartewe01,,"$10,850,000"
Tristan Da Silva,1 year,Orlando Magic,2001-05-15,dasiltr01,,"$3,809,520"
Gary Harris,11 years,Milwaukee Bucks,1994-09-14,harriga01,,
Caleb Houstan,3 years,Orlando Magic,2003-01-09,houstca01,,"$2,187,699"
Jett Howard,2 years,Orlando Magic,2003-09-14,howarje01,,"$5,529,720"
Jonathan Isaac,6 years,Orlando Magic,1997-10-03,isaacjo01,,"$15,000,000"
Cory Joseph,14 years,,1991-08-20,josepco01,,
Mac McClung,3 years,,1999-01-06,mccluma01,,
Trevelin Queen,4 years,,1997-02-25,queentr01,,
Jalen Suggs,4 years,Orlando Magic,2001-06-03,suggsja01,,"$35,000,000"
Franz Wagner,4 years,Orlando Magic,2001-08-27,wagnefr01,,"$38,661,750"
Moritz Wagner,7 years,Orlando Magic,1997-04-26,wagnemo01,,"$5,000,000"
Bam Adebayo,8 years,Miami Heat,1997-07-18,adebaba01,,"$37,096,620"
Kyle Anderson,11 years,Utah Jazz,1993-09-20,anderky01,,"$9,219,512"
Thomas Bryant,8 years,,1997-07-31,bryanth01,,
Alec Burks,14 years,,1991-07-20,burksal01,,
Jimmy Butler,14 years,Golden State Warriors,1989-09-14,butleji01,,"$54,126,450"
Josh Christopher,3 years,,2001-12-08,chrisjo01,,
Tyler Herro,6 years,Miami Heat,2000-01-20,herroty01,,"$31,000,000"
Haywood Highsmith,5 years,Miami Heat,1996-12-09,highsha01,,"$5,616,000"
Jaime Jaquez Jr.,2 years,Miami Heat,2001-02-18,jaqueja01,,"$3,861,600"
Keshad Johnson,1 year,Miami Heat,2001-06-23,johnske10,,"$1,955,377"
Nikola Jović,3 years,Miami Heat,2003-06-09,jovicni01,,"$4,445,417"
Pelle Larsson,1 year,Miami Heat,2001-02-23,larsspe01,,"$1,955,377"
Kevin Love,17 years,Utah Jazz,1988-09-07,loveke01,,"$4,150,000"
Davion Mitchell,4 years,Miami Heat,1998-09-05,mitchda01,,
Josh Richardson,10 years,,1993-09-15,richajo01,,
Duncan Robinson,7 years,Detroit Pistons,1994-04-22,robindu01,,"$9,888,000"
Terry Rozier,10 years,Miami Heat,1994-03-17,roziete01,,"$26,643,031"
Dru Smith,3 years,,1997-12-30,smithdr01,,
Isaiah Stevens,1 year,Sacramento Kings,2000-11-01,steveis01,,
Kel'el Ware,1 year,Miami Heat,2004-04-20,wareke01,,"$4,443,360"
Andrew Wiggins,11 years,Miami Heat,1995-02-23,wiggian01,,"$28,223,215"
LaMelo Ball,5 years,Charlotte Hornets,2001-08-22,ballla01,,"$37,958,760"
Damion Baugh,1 year,,2000-08-03,baughda01,,
Miles Bridges,6 years,Charlotte Hornets,1998-03-21,bridgmi02,,"$25,000,000"
Seth Curry,11 years,,1990-08-23,curryse01,,
Moussa Diabaté,3 years,Charlotte Hornets,2002-01-21,diabamo01,,"$2,270,735"
Malachi Flynn,5 years,,1998-05-10,flynnma01,,
Marcus Garrett,2 years,,1998-11-09,garrema01,,
Taj Gibson,16 years,,1985-06-24,gibsota01,,
Josh Green,5 years,Charlotte Hornets,2000-11-16,greenjo02,,"$13,666,667"
DaQuan Jeffries,6 years,Charlotte Hornets,1997-08-30,jeffrda01,,"$2,743,776"
Tre Mann,4 years,,2001-02-03,manntr01,,
Cody Martin,6 years,,1995-09-28,martico01,,
Vasilije Micić,2 years,,1994-01-13,micicva01,,"$8,109,150"
