name,experince,team_name,birth_day,player_id,season,team_name,lg_id,salary
Kristaps Porziņģis,9 years,Dallas Mavericks,1995-08-02,porzikr01,2019-20,Dallas Mavericks,NBA,"$27,285,000"
Kristaps Porziņģis,9 years,Dallas Mavericks,1995-08-02,porzikr01,2020-21,Dallas Mavericks,NBA,"$29,467,800"
Kristaps Porziņģis,9 years,Washington Wizards,1995-08-02,porzikr01,2021-22,Washington Wizards,NBA,"$31,650,600"
Kristaps Porziņģis,9 years,Washington Wizards,1995-08-02,porzikr01,2022-23,Washington Wizards,NBA,"$33,833,400"
Kristaps Porziņģis,9 years,Boston Celtics,1995-08-02,porzikr01,2023-24,Boston Celtics,NBA,"$36,016,200"
Kristaps Porziņģis,9 years,Boston Celtics,1995-08-02,porzikr01,2024-25,Boston Celtics,NBA,"$29,268,293"
Kristaps Porziņģis,9 years,(may be incomplete),1995-08-02,porzikr01,Career,(may be incomplete),,"$206,171,387"
Payton Pritchard,5 years,Boston Celtics,1998-01-28,pritcpa01,2020-21,Boston Celtics,NBA,"$2,035,800"
Payton Pritchard,5 years,Boston Celtics,1998-01-28,pritcpa01,2021-22,Boston Celtics,NBA,"$2,137,440"
Payton Pritchard,5 years,Boston Celtics,1998-01-28,pritcpa01,2022-23,Boston Celtics,NBA,"$2,239,200"
Payton Pritchard,5 years,Boston Celtics,1998-01-28,pritcpa01,2023-24,Boston Celtics,NBA,"$4,037,277"
Payton Pritchard,5 years,Boston Celtics,1998-01-28,pritcpa01,2024-25,Boston Celtics,NBA,"$6,696,429"
Payton Pritchard,5 years,(may be incomplete),1998-01-28,pritcpa01,Career,(may be incomplete),,"$17,146,146"
Neemias Queta,4 years,Sacramento Kings,1999-07-13,quetane01,2021-22,Sacramento Kings,NBA,< $Minimum
Neemias Queta,4 years,Sacramento Kings,1999-07-13,quetane01,2022-23,Sacramento Kings,NBA,(TW)
Neemias Queta,4 years,Sacramento Kings,1999-07-13,quetane01,2023-24,Sacramento Kings,NBA,"$250,000"
Neemias Queta,4 years,Boston Celtics,1999-07-13,quetane01,2023-24,Boston Celtics,NBA,"$81,253"
Neemias Queta,4 years,Boston Celtics,1999-07-13,quetane01,2023-24,Boston Celtics,NBA,(TW)
Neemias Queta,4 years,Boston Celtics,1999-07-13,quetane01,2024-25,Boston Celtics,NBA,"$2,162,606"
Neemias Queta,4 years,(may be incomplete),1999-07-13,quetane01,Career,(may be incomplete),,"$2,493,859"
Baylor Scheierman,1 year,Boston Celtics,2000-09-26,scheiba01,2024-25,Boston Celtics,NBA,"$2,494,320"
Baylor Scheierman,1 year,(may be incomplete),2000-09-26,scheiba01,Career,(may be incomplete),,"$2,494,320"
Jaden Springer,4 years,Philadelphia 76ers,2002-09-25,sprinja01,2021-22,Philadelphia 76ers,NBA,"$2,023,680"
Jaden Springer,4 years,Philadelphia 76ers,2002-09-25,sprinja01,2022-23,Philadelphia 76ers,NBA,"$2,125,200"
Jaden Springer,4 years,Boston Celtics,2002-09-25,sprinja01,2023-24,Boston Celtics,NBA,"$2,226,240"
Jaden Springer,4 years,Houston Rockets,2002-09-25,sprinja01,2024-25,Houston Rockets,NBA,"$4,018,363"
Jaden Springer,4 years,Utah Jazz,2002-09-25,sprinja01,2024-25,Utah Jazz,NBA,"$634,437"
Jaden Springer,4 years,Utah Jazz,2002-09-25,sprinja01,2024-25,Utah Jazz,NBA,"$119,972"
Jaden Springer,4 years,(may be incomplete),2002-09-25,sprinja01,Career,(may be incomplete),,"$11,147,892"
Jayson Tatum,8 years,Boston Celtics,1998-03-03,tatumja01,2017-18,Boston Celtics,NBA,"$5,645,400"
Jayson Tatum,8 years,Boston Celtics,1998-03-03,tatumja01,2018-19,Boston Celtics,NBA,"$6,700,800"
Jayson Tatum,8 years,Boston Celtics,1998-03-03,tatumja01,2019-20,Boston Celtics,NBA,"$7,830,000"
Jayson Tatum,8 years,Boston Celtics,1998-03-03,tatumja01,2020-21,Boston Celtics,NBA,"$9,897,120"
Jayson Tatum,8 years,Boston Celtics,1998-03-03,tatumja01,2021-22,Boston Celtics,NBA,"$28,103,550"
Jayson Tatum,8 years,Boston Celtics,1998-03-03,tatumja01,2022-23,Boston Celtics,NBA,"$30,351,780"
Jayson Tatum,8 years,Boston Celtics,1998-03-03,tatumja01,2023-24,Boston Celtics,NBA,"$32,600,060"
Jayson Tatum,8 years,Boston Celtics,1998-03-03,tatumja01,2024-25,Boston Celtics,NBA,"$34,848,340"
Jayson Tatum,8 years,(may be incomplete),1998-03-03,tatumja01,Career,(may be incomplete),,"$155,977,050"
Xavier Tillman Sr.,5 years,Memphis Grizzlies,1999-01-12,tillmxa01,2020-21,Memphis Grizzlies,NBA,"$1,300,000"
Xavier Tillman Sr.,5 years,Memphis Grizzlies,1999-01-12,tillmxa01,2021-22,Memphis Grizzlies,NBA,"$1,517,981"
Xavier Tillman Sr.,5 years,Memphis Grizzlies,1999-01-12,tillmxa01,2022-23,Memphis Grizzlies,NBA,"$1,782,621"
Xavier Tillman Sr.,5 years,Boston Celtics,1999-01-12,tillmxa01,2023-24,Boston Celtics,NBA,"$1,930,681"
Xavier Tillman Sr.,5 years,Boston Celtics,1999-01-12,tillmxa01,2024-25,Boston Celtics,NBA,"$2,237,691"
Xavier Tillman Sr.,5 years,(may be incomplete),1999-01-12,tillmxa01,Career,(may be incomplete),,"$8,768,974"
Jordan Walsh,2 years,Boston Celtics,2004-03-03,walshjo01,2023-24,Boston Celtics,NBA,"$1,119,563"
Jordan Walsh,2 years,Boston Celtics,2004-03-03,walshjo01,2024-25,Boston Celtics,NBA,"$1,891,857"
Jordan Walsh,2 years,(may be incomplete),2004-03-03,walshjo01,Career,(may be incomplete),,"$3,011,420"
